Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;30;27.2;.9;
2024-02-29;23;26.9;1;
2024-03-31;31;27.2;.9;
2024-04-30;30;27.2;.8;
2024-05-31;28;27.5;1;
2024-06-30;23;27.7;1.4;
2024-07-31;6;28.4;1.6;
2024-08-31;13;28.5;1.5;
2024-09-30;11;28.9;1.7;
2024-10-31;10;28.8;1.5;
2024-11-30;9;28.9;1.6;
2024-12-31;28;27.4;1.1;
2025-01-31;29;26.6;.9;

