Nome: BELO HORIZONTE (PAMPULHA)
Codigo Estacao: A521
Latitude: -19.88388888
Longitude: -43.96944443
Altitude: 854.02
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;20;23.8;1.1;
2024-02-29;22;23.6;1.2;
2024-03-31;19;24.3;1.2;
2024-04-30;4;23.3;1.3;
2024-05-31;0;22.4;1.2;
2024-06-30;0;20.2;1.1;
2024-07-31;0;20.3;1.2;
2024-08-31;0;21.5;1.6;
2024-09-30;0;24.8;2;
2024-10-31;13;23.9;1.7;
2024-11-30;16;22.5;1.5;
2024-12-31;20;23;1.1;
2025-01-31;21;23.1;1.2;

