Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;21;22.1;1.9;
2024-02-29;15;22.2;2.1;
2024-03-31;18;22.8;1.7;
2024-04-30;10;22.6;2;
2024-05-31;0;21.3;2.1;
2024-06-30;0;19.6;2.1;
2024-07-31;0;19.8;2.2;
2024-08-31;0;21.3;2.5;
2024-09-30;0;25;2.6;
2024-10-31;18;23.3;2.1;
2024-11-30;21;21.6;2;
2024-12-31;20;22.1;1.8;
2025-01-31;17;21.8;2.1;

