Nome: CURITIBA
Codigo Estacao: A807
Latitude: -25.4486111
Longitude: -49.23055554
Altitude: 922.91
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;17;21.6;2.3;
2024-02-29;17;22.2;1.9;
2024-03-31;13;21.7;1.9;
2024-04-30;13;20.6;1.8;
2024-05-31;10;18.6;2.1;
2024-06-30;5;17.6;1.7;
2024-07-31;6;15.1;1.5;
2024-08-31;5;16;1.7;
2024-09-30;8;19.9;2;
2024-10-31;10;18.5;2.3;
2024-11-30;13;19.9;2.2;
2024-12-31;14;20.4;2.3;
2025-01-31;20;21.2;1.8;

