Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.16527777
Longitude: -34.81555555
Altitude: 33.5
Situacao: Pane
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;8;28.4;1.3;
2024-02-29;19;28.3;1;
2024-03-31;18;28.7;.9;
2024-04-30;23;28.1;.9;
2024-05-31;21;27;1;
2024-06-30;25;26.1;1;
2024-07-31;27;25.4;1.1;
2024-08-31;18;25.5;1.1;
2024-09-30;14;26.1;1.1;
2024-10-31;7;27;1.2;
2024-11-30;6;27.4;1.2;
2024-12-31;9;27.8;null;
2025-01-31;14;28;null;

