Nome: MACEIO
Codigo Estacao: A303
Latitude: -9.55111111
Longitude: -35.77027777
Altitude: 84.12
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;7;27.6;3.3;
2024-02-29;24;27.7;2.4;
2024-03-31;23;28;2.3;
2024-04-30;24;27;1.6;
2024-05-31;28;25.7;1.7;
2024-06-30;28;24.6;1.9;
2024-07-31;27;24;2.1;
2024-08-31;21;24.2;2.4;
2024-09-30;16;24.5;2.5;
2024-10-31;10;25.4;2.9;
2024-11-30;9;26.1;3.5;
2024-12-31;16;26.7;3.2;
2025-01-31;11;27;3;

