Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;20;28.1;1.6;
2024-02-29;16;28.4;1.6;
2024-03-31;22;27.8;1.4;
2024-04-30;18;27.8;1.3;
2024-05-31;22;27.5;1.2;
2024-06-30;11;28.6;1.3;
2024-07-31;7;29.5;1.5;
2024-08-31;3;30.4;1.5;
2024-09-30;7;31.6;1.7;
2024-10-31;10;30.1;1.3;
2024-11-30;13;29.2;1.3;
2024-12-31;24;27.3;1.2;
2025-01-31;23;26.8;1.3;

