Nome: PALMAS
Codigo Estacao: A009
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;17;26.6;1.1;
2024-02-29;17;27.1;1.3;
2024-03-31;21;27.5;1.1;
2024-04-30;21;27.2;1;
2024-05-31;2;null;1.5;
2024-06-30;0;null;1.8;
2024-07-31;0;null;1.8;
2024-08-31;0;null;2.3;
2024-09-30;1;null;2.3;
2024-10-31;15;null;1.2;
2024-11-30;17;null;1.2;
2024-12-31;21;null;1.2;
2025-01-31;19;null;1.1;

