Nome: PORTO ALEGRE - JARDIM BOTANICO
Codigo Estacao: A801
Latitude: -30.05351111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;12;24.3;1.7;
2024-02-29;8;25.9;1.6;
2024-03-31;8;24.5;1.3;
2024-04-30;14;21.6;1.4;
2024-05-31;23;16.7;1.3;
2024-06-30;16;17.4;1.3;
2024-07-31;14;13.7;1.1;
2024-08-31;11;15.6;1.4;
2024-09-30;13;18.7;1.5;
2024-10-31;14;20.6;1.6;
2024-11-30;14;23.1;1.6;
2024-12-31;12;22.4;1.7;
2025-01-31;13;25;1.6;

