Nome: PORTO VELHO
Codigo Estacao: A925
Latitude: -8.7936111
Longitude: -63.84583333
Altitude: 86.7
Situacao: Pane
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;26;26.8;1.3;
2024-02-29;21;26.8;1.3;
2024-03-31;21;27.3;1.3;
2024-04-30;20;27.2;1.2;
2024-05-31;10;26;1.3;
2024-06-30;1;26.8;1.1;
2024-07-31;1;26.1;1.3;
2024-08-31;4;27.5;1.3;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;
2025-01-31;null;null;null;

