Nome: RIO BRANCO
Codigo Estacao: A104
Latitude: -9.95920402
Longitude: -67.86898266
Altitude: 163
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;24;26.5;.7;
2024-02-29;20;26.3;.6;
2024-03-31;22;26.9;.6;
2024-04-30;14;26.7;.6;
2024-05-31;7;24.1;.6;
2024-06-30;5;25.9;.4;
2024-07-31;3;23.7;.6;
2024-08-31;2;25.8;.7;
2024-09-30;5;27.7;.6;
2024-10-31;12;27.4;.7;
2024-11-30;16;26;.7;
2024-12-31;20;26.1;.7;
2025-01-31;21;25.9;.7;

