Nome: SALVADOR
Codigo Estacao: A401
Latitude: -13.005515
Longitude: -38.50576
Altitude: 47.56
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;10;28;1.3;
2024-02-29;18;27.6;1;
2024-03-31;13;28.5;1;
2024-04-30;25;26.8;1.1;
2024-05-31;24;26.3;1.1;
2024-06-30;23;25.1;1.1;
2024-07-31;25;24.8;1.2;
2024-08-31;20;24.4;1.1;
2024-09-30;17;24.9;1.1;
2024-10-31;8;26.3;1.2;
2024-11-30;20;26.2;1.2;
2024-12-31;7;27.2;1.2;
2025-01-31;5;27.4;1.2;

