Nome: SAO LUIS
Codigo Estacao: A203
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 54.8
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;13;27.1;1.9;
2024-02-29;24;26.1;1.6;
2024-03-31;30;24.7;1.2;
2024-04-30;27;24.6;1;
2024-05-31;26;25.7;1.1;
2024-06-30;18;25.9;1;
2024-07-31;17;26.4;1.2;
2024-08-31;4;26.9;1.8;
2024-09-30;0;27.2;2.6;
2024-10-31;0;27.4;2.7;
2024-11-30;0;27.5;2.7;
2024-12-31;4;27.9;2.5;
2025-01-31;14;26.4;1.7;

