Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.4962888
Longitude: -46.6200666
Altitude: 785.64
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2025-01-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2024-01-31;20;23.1;2;
2024-02-29;14;23.7;1.6;
2024-03-31;16;23.6;1.7;
2024-04-30;7;22.9;1.6;
2024-05-31;6;21.7;1.5;
2024-06-30;3;20.1;1.2;
2024-07-31;7;17.6;1.2;
2024-08-31;6;19;1.4;
2024-09-30;7;22.7;1.6;
2024-10-31;15;20.8;2.1;
2024-11-30;12;21.7;1.9;
2024-12-31;17;22.7;2;
2025-01-31;19;23.3;1.9;

