City,1BR Apartment (Center),1BR Apartment (Outside),Utilities (Monthly),Internet (Monthly),Groceries (Monthly),Public Transport (Monthly),Índice de Progresso Social,Moradia,Saúde e Bem-estar,Água e Saneamento,Nutrição e Cuidados Médicos Básicos,speed_mbps,Segurança Pessoal,Taxa_2023,Climate Score,Remote Work Score
Goiânia,0.8461538461538461,0.8529411764705883,0.7999999999999999,0.857142857142857,0.833333333333333,0.8387096774193548,0.9463611190063261,0.9859874048079851,0.5167151917415103,0.9626145247875806,0.5627916344168442,1.0,0.690325148591683,0.8283775581511124,0.4367636910719734,0.797092165322136
Cuiabá,0.9230769230769231,0.9411764705882353,0.9,0.857142857142857,0.9333333333333331,0.9032258064516128,0.8037480460181925,0.8161369492181194,0.3407544713100963,0.828988793610129,0.572533713822124,0.8092459091429224,0.7451702446522859,0.908999953219609,0.689804741133567,0.7947704243089847
Florianópolis,0.6923076923076923,0.7647058823529412,0.6499999999999999,0.5714285714285714,0.6333333333333333,0.6451612903225805,0.8806014964171327,0.5166585404264827,0.7189713567065872,0.894153690108356,1.0,0.39649845520082394,0.9280650864374975,0.964972851931313,0.9189540324041539,0.7258861048202656
Palmas,0.9615384615384616,0.9705882352941176,0.95,0.9285714285714284,0.9666666666666663,0.967741935483871,0.7753033126243549,0.7965881775895953,0.5613505347049168,0.9339256476160427,0.639895868728658,0.7278292710836479,0.20296817506814002,0.4262686087155758,0.48312565696921367,0.6933277088902537
Belo Horizonte,0.6153846153846154,0.6470588235294118,0.55,0.4285714285714286,0.5999999999999996,0.5806451612903225,0.8843814113952195,0.44033156821733144,0.6539708008127039,0.9186623951439274,0.3568320874815525,0.5669985124156082,0.7599386030613704,0.8934406965891242,0.9894694598848344,0.6863376736905427
Brasília,0.423076923076923,0.47058823529411775,0.3999999999999999,0.2857142857142856,0.3999999999999999,0.38709677419354827,1.0,0.5454900190928136,0.9999999999999996,0.9050799989986658,0.6661926171665886,0.4673303581645497,0.8035050085839601,0.9369380027366576,0.9614875600301924,0.6701662766457678
Campo Grande,0.9615384615384616,0.9705882352941176,0.95,0.9285714285714284,0.9833333333333334,0.967741935483871,0.7851476800082517,0.8469452679141733,0.14951885396730535,0.9397837578765547,0.6700365712649683,0.4903307014532555,0.7207643236541199,0.7754716081493629,,0.6680062667250435
Curitiba,0.6538461538461539,0.7058823529411765,0.5999999999999999,0.5,0.6666666666666665,0.6451612903225805,0.8663451455032201,0.7008523880433124,0.5878088609676122,1.0,0.3401011184061744,0.4565167639318001,0.7377340845395983,0.8650718981082042,0.5213541829357886,0.6482734458692347
Boa Vista,1.0,1.0,1.0,1.0,1.0,1.0,0.399772354910672,0.7464551076669643,0.08536282721445909,0.768469088430626,0.05043237862481664,0.466071632909944,0.4726674083688098,0.7561251565047374,0.45460392039895353,0.6470422227240323
Teresina,1.0,1.0,1.0,1.0,1.0,1.0,0.7260117756232525,0.6517734821804639,0.28091446877639337,0.9141861116399042,0.0,0.5044055383911202,0.11327548317969871,0.5890284048336272,0.31355412862934534,0.6191486866181812
